,actor,rev_sum,grade_sum,appearances,score,score_epfl,gender,cluster
18223,Jackie_Tohn,170629.06976744186,4.37239720940263,1.0,13.522558715961,2.175351786732235,F,2
18224,Michael_Benyaer,170629.06976744186,4.37239720940263,1.0,13.522558715961,2.175351786732235,M,2
18225,Arsène_Mosca,267135283.72093025,5.084037229779725,1.0,21.02937144487909,4.800208383897841,M,0
18226,Preston_Nyman,267135283.72093025,5.084037229779725,1.0,21.02937144487909,4.800208383897841,M,0
18227,Max_Baldry,267135283.72093025,5.084037229779725,1.0,21.02937144487909,4.800208383897841,M,0
18228,Clint_Dyer,151483638.94769713,5.37805093680464,3.0,20.518314212467693,4.6215104469083315,M,0
18229,Eugene_Jones_III,785653.4883720931,4.340897382402313,1.0,15.042352216595098,2.706767733889314,M,2
18230,Peter_Macdissi,16535531.689240992,4.751293416863929,2.0,18.17943893853028,3.803691698201256,M,0
18231,Summer_Bishil,118508124.68215525,4.923204217838624,3.0,20.18445166122008,4.504770979462586,F,1
18232,Roxane_Mesquida,944465.5805434877,4.307785372399689,3.0,15.218798460620212,2.768464502464645,F,2
18233,Fu'ad_Aït_Aattou,2129740.697674419,3.627694247666066,1.0,15.86010804506938,2.992706901250253,M,2
18234,Léa_Seydoux,219091554.91447714,5.924545159999173,4.0,20.984104177218338,4.784380083599732,F,0
18235,Kierston_Wareing,5188028.978311994,4.631184178069288,2.0,16.994677007443745,3.389423981237528,F,2
18236,Candice_Accola,269083237.2093023,6.111859183925488,1.0,21.22076233402635,4.867130745778578,F,0
18237,Darla_Vandenbossche,269083237.2093023,6.111859183925488,1.0,21.22076233402635,4.867130745778578,F,0
18238,Cut_Chemist,269083237.2093023,6.111859183925488,1.0,21.22076233402635,4.867130745778578,M,0
18239,Daniel_Clark,269083237.2093023,6.111859183925488,1.0,21.22076233402635,4.867130745778578,M,0
18240,Aman_Johal,152269742.76195452,5.872838158359584,2.0,20.611502148727105,4.654094844321696,M,0
18241,Tom_Barker,291570305.23255813,5.5786139826671945,2.0,21.209732074342053,4.863273869239052,M,0
18242,Alfie_Owen-Allen,118329056.62790698,5.730802778418401,2.0,20.334835538804903,4.557354696073132,M,0
18243,Patrick_Kennedy,116759919.03570561,5.6893628756744645,3.0,20.314228679753164,4.550149234596725,M,0
18244,Saoirse_Ronan,55154954.97782117,5.193980508937891,7.0,19.47315750572306,4.256057547543687,F,1
18245,Nonso_Anozie,66161072.971198246,5.756344182102783,5.0,19.75790540897093,4.355623427146623,M,1
18246,Michelle_Duncan,150309373.25581396,6.420263313265874,1.0,20.687665347811667,4.68072631666524,F,0
18247,Sai_Gundewar,1700372.093023256,4.269357826014261,1.0,15.797821087221456,2.97092744062848,M,2
18248,Kevin_Copeland,1700372.093023256,4.269357826014261,1.0,15.797821087221456,2.97092744062848,M,2
18249,Jack_Campbell,1700372.093023256,4.269357826014261,1.0,15.797821087221456,2.97092744062848,M,2
18250,Andy_Whitfield,1700372.093023256,4.269357826014261,1.0,15.797821087221456,2.97092744062848,M,2
18251,Michael_Piccirilli,1700372.093023256,4.269357826014261,1.0,15.797821087221456,2.97092744062848,M,2
18252,Erika_Heynatz,1700372.093023256,4.269357826014261,1.0,15.797821087221456,2.97092744062848,F,2
18253,Young-chang_Song,16488326.59563143,4.415059676744104,3.0,18.103184560217667,3.7770283438317556,M,1
18254,Nam-ju_Kim,21116974.418604653,3.497928370606003,1.0,18.117758648989586,3.7821243671964098,F,2
18255,Aramis_Knight,577183186.7732558,6.246727780854371,2.0,22.00572802707747,5.141604407552056,M,0
18256,Zineb_Oukach,31440386.046511628,5.173323126194812,1.0,18.907119057338626,4.05813469943963,F,0
18257,Kwai_Lun-mei,10428323.255813954,4.38334889329128,1.0,17.63784907213614,3.614317620933236,F,2
