,actor,rev_sum,grade_sum,appearances,score,score_epfl
1796,Rudy_Bond,1774108734.402852,30.583360895198037,5.0,24.71702011177696,4.791073240043891
1797,Kim_Hunter,532284139.39999205,37.329340148453,8.0,23.71246761794064,4.529437279108923
1798,Marlon_Brando,4933988491.177867,84.23429521423718,17.0,26.753015667400575,5.321348817401328
1799,Piper_Laurie,487203903.2926547,70.84131720443224,17.0,24.264635692831312,4.6732495992793925
1800,Vaughn_Taylor,380090587.33766234,12.927829533596825,3.0,22.315302485867907,4.165545253398376
1801,David_Farrar,758463869.4638695,13.234004513370705,4.0,23.029595338057728,4.351583014409712
1802,Richard_Benedict,11818181.818181818,5.197681115216863,1.0,17.93336232236696,3.024267786594432
1803,Robert_Bray,50000000.0,7.062811582634886,2.0,19.68237677678702,3.4797990607479377
1804,Herbert_Heyes,168863636.36363634,21.100062042707325,6.0,21.993878042648184,4.081830172717404
1805,Harry_Tyler,11136363.636363637,3.025503796347417,1.0,17.332803937013615,2.867852197350892
1806,Edward_Gargan,11136363.636363637,3.025503796347417,1.0,17.332803937013615,2.867852197350892
1807,Ann_Tyrrell,11136363.636363637,3.025503796347417,1.0,17.332803937013615,2.867852197350892
1808,Dominique_Blanchar,14090909.090909092,3.969859621043921,1.0,17.839771136220513,2.9998919375743816
1809,O.E._Hasse,32272727.272727273,8.476348537938344,2.0,19.427012834770412,3.413289454960684
1810,Wilfried_Seyferth,14090909.090909092,3.969859621043921,1.0,17.839771136220513,2.9998919375743816
1811,Hans_Christian_Blech,398706293.70629364,9.632125875313138,2.0,22.068839554727184,4.101353918232213
1812,Helene_Thimig,14090909.090909092,3.969859621043921,1.0,17.839771136220513,2.9998919375743816
1813,Robert_Freitag,14090909.090909092,3.969859621043921,1.0,17.839771136220513,2.9998919375743816
1814,Hildegard_Knef,73181818.18181819,8.596784445868865,2.0,20.259845794282125,3.630201018066777
1815,Oskar_Werner,14090909.090909092,3.969859621043921,1.0,17.839771136220513,2.9998919375743816
1816,Kasey_Rogers,16363636.363636363,6.326995102207879,1.0,18.455397552110853,3.1602319993299437
1817,Patricia_Hitchcock,16363636.363636363,6.326995102207879,1.0,18.455397552110853,3.1602319993299437
1818,Marion_Lorne,774753395.4545454,14.863013662882457,3.0,23.166931159688982,4.387352165234339
1819,John_Brown,77145316.61054994,12.152712309915543,2.0,20.658753810204914,3.7340967156146903
1820,Clinton_Sundberg,22727272.727272727,2.9741093043216256,1.0,18.029020803693225,3.049182063187184
1821,Sig_Ruman,253750000.0,31.20185576763764,8.0,22.792337661098834,4.289789190113605
